,title,region,version,crc32,status,notes
,Daffy Duck in Hollywood,Europe,,AE7599F6,Works,-,
,Dashin' Desperadoes,Europe,Proto,98D224A5,Unplayable,The game Works but has graphical glitches,
,Davis Cup II - 1994-07-10,Europe,Proto,3F7DC270,Works,-,
,Daze Before Christmas,Australia,,D7EBDE5E,Works,-,
,"Death and Return of Superman, The",Europe,,E05AB7C6,Doesn't work,Black Screen,
,Dino Dini's Soccer,Europe,,B8202203,Works,-,
,"Disney Collection, The - QuackShot Starring Donald Duck + Castle of Illusion Starring Mickey Mouse",Europe,,F15C4B84,Works,-,
,DJ Boy,Europe,,16B65872,Works,Downscaled image,
,Donald in Maui Mallard,Europe,Rev 1,5780EDEA,Doesn't work,Black Screen,
,Donald in Maui Mallard,Europe,,5780EDEA,Doesn't work,-,
,Double Clutch,Europe,,324BDFF1,Works,-,
,Dr. Robotnik's Mean Bean Machine,Europe,,65B935E2,Works,-,
,Dragon - The Bruce Lee Story,Europe,,935B2E8A,Works,-,
,Dragon Ball Z - L'Appel du Destin,France,,9E803CA0,Works,-,
,Dune II - Kampf um den Wuestenplaneten,Germany,,163E51D3,Works,-,
,Dune II - The Battle for Arrakis,Europe,,3EB08512,Works,-,
,EA Hockey,Europe,,44D6EE19,Doesn't work,Red Screen,
,EA Sports Double Header,Europe,,E8634B3A,Works,-,
,Earthworm Jim,Europe,,3614BE27,Works,ROM Region: Force USA (NTSC) or region lock,
,Earthworm Jim 2,Europe,,853052CF,Doesn't work,Black Screen,
,Earthworm Jim 2 - 1995-08-24,Europe,Beta,1C77FB88,Doesn't work,Black Screen,
,Ecco - The Tides of Time,Europe,,15AE030B,Works,-,
,Elitserien 95,Sweden,,BFEA49DE,Works,-,
,Elitserien 96,Sweden,,A205745F,Works,-,
,Empire of Steel,Europe,,E5517B77,Works,-,
,Eternal Champions,Europe,Beta,CA755216,Works,-,
,Eternal Champions,Europe,,9342224E,Works,ROM Region: Force USA (NTSC) or region lock,
,European Club Soccer,Europe,,FAE4DDEC,Doesn't work,E3: Please Shut Down,
,European Club Soccer - 1991-10-25,Europe,Beta,9FD59FCD,Doesn't work,E4: Please Shut Down,
,Exo Squad,Europe,,366530A4,Doesn't work,Black Screen,
,F-15 Strike Eagle II,Europe,,CE0E5255,Works,-,
,F1,Europe,,DC5DF405,Works,ROM Region: Force USA (NTSC) to put the game on fullscreen,
,F1 - World Championship Edition,Europe,,1A7B1B30,Works,ROM Region: Force USA (NTSC) to put the game on fullscreen,
,Fatal Rewind,Europe,,FEF17F18,Doesn't work,Red Screen,
,Ferrari Grand Prix Challenge,Europe,,FEE24BD9,Works,-,
,Fever Pitch Soccer,Europe,,16217492,Works,-,
,FIFA 98 - Road to World Cup,Europe,,7B5C9787,Works,-,
,Fire Shark,Europe,,FC7B07E4,Works,-,
,Flashback,Europe,,5C4FF1CE,Works,ROM Region: Force USA (NTSC) to put the game on fullscreen,
,Flink,Europe,,997915D1,Works,-,
,"Flintstones, The",Europe,,B13C7189,Works,-,
,Fun 'n Games,Europe,,FDCA02E8,Works,Downscaled image,
,Sonic & Knuckles + Sonic The Hedgehog 3,Europe,,E19A78BA,Doesn't work,Plays as Sonic & Knuckles,
,Sonic 3,Europe,,04D6DE94,Works,-,
,Sonic Compilation,Europe,,8CC6192F,Works,-,
